Date,PrimaryValue
2010-01-01,493369217
2010-02-01,432494939
2010-03-01,513516055
2010-04-01,499579723
2010-05-01,555433917
2010-06-01,553749079
2010-07-01,461307595
2010-08-01,428990043
2010-09-01,427109166
2010-10-01,393791187
2010-11-01,441675821
2010-12-01,465576408
2011-01-01,417409704
2011-02-01,312828420
2011-03-01,366860903
2011-04-01,267410287
2011-05-01,331615128
2011-06-01,329053042
2011-07-01,335097001
2011-08-01,314002287
2011-09-01,377938780
2011-10-01,321042008
2011-11-01,340263941
2011-12-01,271125256
2012-01-01,278780151
2012-02-01,191618612
2012-03-01,246215222
2012-04-01,231532997
2012-05-01,321532098
2012-06-01,328274820
2012-07-01,258934295
2012-08-01,265049185
2012-09-01,259970910
2012-10-01,259184095
2012-11-01,239243018
2012-12-01,272245170
2013-01-01,264374978
2013-02-01,265467914
2013-03-01,336888372
2013-04-01,275055357
2013-05-01,347478204
2013-06-01,312841889
2013-07-01,345029388
2013-08-01,341839890
2013-09-01,299233623
2013-10-01,463057649
2013-11-01,311432618
2013-12-01,322192810
2014-01-01,305591602
2014-02-01,337981304
2014-03-01,292293185
2014-04-01,345575377
2014-05-01,344883266
2014-06-01,381853452
2014-07-01,354978321
2014-08-01,422627968
2014-09-01,411546648
2014-10-01,405203653
2014-11-01,384249538
2014-12-01,488875179
2015-01-01,404467131
2015-02-01,366307990
2015-03-01,405197433
2015-04-01,409790889
2015-05-01,356979902
2015-06-01,404039803
2015-07-01,503494635
2015-08-01,420100571
2015-09-01,420953384
2015-10-01,408608678
2015-11-01,444871504
2015-12-01,461301727
2016-01-01,328198149
2016-02-01,303618099
2016-03-01,512877263
2016-04-01,390095689
2016-05-01,495803610
2016-06-01,384200994
2016-07-01,423557303
2016-08-01,472837119
2016-09-01,457228469
2016-10-01,502340894
2016-11-01,405072432
2016-12-01,503657386
2017-01-01,428620147
2017-02-01,407960239
2017-03-01,390426872
2017-04-01,365751552
2017-05-01,387001830
2017-06-01,428292829
2017-07-01,364401769
2017-08-01,475203471
2017-09-01,560850402
2017-10-01,545672785
2017-11-01,504530979
2017-12-01,427666615
2018-01-01,505571359
2018-02-01,414804286
2018-03-01,481918929
2018-04-01,431405391
2018-05-01,418531939
2018-06-01,438208273
2018-07-01,415201454
2018-08-01,571258432
2018-09-01,510954348
2018-10-01,613695421
2018-11-01,632470258
2018-12-01,663045688
2019-01-01,559608503
2019-02-01,842456430
2019-03-01,788080921
2019-04-01,696543616
2019-05-01,638991256
2019-06-01,608446874
2019-07-01,530588632
2019-08-01,690903671
2019-09-01,653911826
2019-10-01,699870047
2019-11-01,694660393
2019-12-01,745111866
2020-01-01,705593273
2020-02-01,733339885
2020-03-01,836239179
2020-04-01,883551947
2020-05-01,891743909
2020-06-01,829935995
2020-07-01,937094154
2020-08-01,808224416
2020-09-01,805508883
2020-10-01,880676048
2020-11-01,871580530
2020-12-01,978013117
2021-01-01,854725619
2021-02-01,922772846
2021-03-01,1180764249
2021-04-01,1067939590
2021-05-01,1233969780
2021-06-01,1354079612
2021-07-01,1088066883
2021-08-01,892980784
2021-09-01,940759887
2021-10-01,870834408
2021-11-01,961219164
2021-12-01,897176768
2022-01-01,871480959
2022-02-01,687314175
2022-03-01,857476905
2022-04-01,754376702
2022-05-01,856802972
2022-06-01,894021006
2022-07-01,695040486
2022-08-01,768050151
2022-09-01,879498323
2022-10-01,783513091
2022-11-01,784108235
2022-12-01,586408596
2023-01-01,469477685
2023-02-01,431573459
2023-03-01,414295008
2023-04-01,308108342
2023-05-01,373782970
2023-06-01,359031336
2023-07-01,341078692
2023-08-01,452518912
2023-09-01,506935182
2023-10-01,410239147
2023-11-01,528186884
2023-12-01,538811687
2024-01-01,513411881
2024-02-01,483954255
2024-03-01,571801814
2024-04-01,532685895
2024-05-01,699625290
2024-06-01,801506127
2024-07-01,812073626
2024-08-01,915474220
2024-09-01,777020044
2024-10-01,797183498
2024-11-01,810075621
2024-12-01,1001588173
