Date,PrimaryValue
2010-01-01,78579153
2010-02-01,74735184
2010-03-01,109653602
2010-04-01,113105257
2010-05-01,104019922
2010-06-01,115005479
2010-07-01,131579087
2010-08-01,161426753
2010-09-01,157205892
2010-10-01,166765934
2010-11-01,190836425
2010-12-01,143549828
2011-01-01,145551861
2011-02-01,135505666
2011-03-01,258984999
2011-04-01,163837073
2011-05-01,154422394
2011-06-01,167447673
2011-07-01,162592751
2011-08-01,161953197
2011-09-01,168232598
2011-10-01,148939087
2011-11-01,134844951
2011-12-01,140838019
2012-01-01,137767893
2012-02-01,153729572
2012-03-01,209076071
2012-04-01,148342190
2012-05-01,149789010
2012-06-01,151112983
2012-07-01,150809182
2012-08-01,156607529
2012-09-01,149616873
2012-10-01,140350300
2012-11-01,161097633
2012-12-01,138257506
2013-01-01,169732089
2013-02-01,139716738
2013-03-01,161026435
2013-04-01,158276867
2013-05-01,172104534
2013-06-01,160510670
2013-07-01,153420496
2013-08-01,169568116
2013-09-01,194053740
2013-10-01,203810641
2013-11-01,178826669
2013-12-01,153672396
2014-01-01,160655189
2014-02-01,149645450
2014-03-01,153615173
2014-04-01,145212547
2014-05-01,138981900
2014-06-01,137094330
2014-07-01,143540558
2014-08-01,153949489
2014-09-01,153546102
2014-10-01,172763086
2014-11-01,167763536
2014-12-01,158460439
2015-01-01,187226538
2015-02-01,135791595
2015-03-01,178973384
2015-04-01,177012584
2015-05-01,161263456
2015-06-01,153007220
2015-07-01,171309385
2015-08-01,176521368
2015-09-01,169983912
2015-10-01,172158093
2015-11-01,150664947
2015-12-01,165287387
2016-01-01,169072690
2016-02-01,149659527
2016-03-01,199665299
2016-04-01,183288637
2016-05-01,192745689
2016-06-01,187120286
2016-07-01,207487097
2016-08-01,210536795
2016-09-01,166701262
2016-10-01,183849553
2016-11-01,170730700
2016-12-01,211441914
2017-01-01,186733176
2017-02-01,173843450
2017-03-01,209827682
2017-04-01,219632579
2017-05-01,212056349
2017-06-01,218551064
2017-07-01,242331136
2017-08-01,256805656
2017-09-01,257265128
2017-10-01,242739873
2017-11-01,277715414
2017-12-01,251791486
2018-01-01,258370350
2018-02-01,225883392
2018-03-01,338249530
2018-04-01,295853435
2018-05-01,273425519
2018-06-01,289245268
2018-07-01,488427178
2018-08-01,392793243
2018-09-01,191034971
2018-10-01,161169701
2018-11-01,144473528
2018-12-01,137226553
2019-01-01,141684774
2019-02-01,105440000
2019-03-01,133970719
2019-04-01,109487880
2019-05-01,128109475
2019-06-01,111438684
2019-07-01,150654375
2019-08-01,140700730
2019-09-01,133478422
2019-10-01,150924958
2019-11-01,103062604
2019-12-01,167897006
2020-01-01,142621197
2020-02-01,170075339
2020-03-01,170104116
2020-04-01,132922509
2020-05-01,98648471
2020-06-01,109821973
2020-07-01,110665518
2020-08-01,120271892
2020-09-01,179197974
2020-10-01,170406821
2020-11-01,235931554
2020-12-01,161685296
2021-01-01,113581110
2021-02-01,122219085
2021-03-01,210584623
2021-04-01,164947740
2021-05-01,193186783
2021-06-01,200526023
2021-07-01,179979969
2021-08-01,228959636
2021-09-01,332919699
2021-10-01,187433414
2021-11-01,191382180
2021-12-01,233972250
2022-01-01,171550307
2022-02-01,174203628
2022-03-01,201531023
2022-04-01,268844562
2022-05-01,276999867
2022-06-01,279861847
2022-07-01,215757657
2022-08-01,230966665
2022-09-01,235636590
2022-10-01,182864724
2022-11-01,196109839
2022-12-01,178810011
2023-01-01,175034057
2023-02-01,166279009
2023-03-01,187447044
2023-04-01,173828675
2023-05-01,177306873
2023-06-01,173254213
2023-07-01,148818849
2023-08-01,175145311
2023-09-01,149698700
2023-10-01,110619765
2023-11-01,107371843
2023-12-01,100859786
2024-01-01,110921867
2024-02-01,96791095
2024-03-01,127081639
2024-04-01,105772755
2024-05-01,137441808
2024-06-01,163644873
2024-07-01,123006089
2024-08-01,102831255
2024-09-01,147438678
2024-10-01,106607395
2024-11-01,97366779
2024-12-01,154527791
