Date,PrimaryValue
2010-01-01,111160440
2010-02-01,109523759
2010-03-01,134352241
2010-04-01,147313098
2010-05-01,122518202
2010-06-01,126590176
2010-07-01,103385078
2010-08-01,119078368
2010-09-01,131208807
2010-10-01,140214987
2010-11-01,150911583
2010-12-01,186499400
2011-01-01,147598420
2011-02-01,106725003
2011-03-01,132269725
2011-04-01,123485063
2011-05-01,139964087
2011-06-01,256708172
2011-07-01,309246967
2011-08-01,330219811
2011-09-01,319028014
2011-10-01,372106308
2011-11-01,346992668
2011-12-01,336536336
2012-01-01,332715193
2012-02-01,342626250
2012-03-01,364356098
2012-04-01,282561128
2012-05-01,274243736
2012-06-01,250602814
2012-07-01,253953031
2012-08-01,335497403
2012-09-01,390577614
2012-10-01,486397127
2012-11-01,299191502
2012-12-01,283492336
2013-01-01,303960615
2013-02-01,287309420
2013-03-01,323930941
2013-04-01,290182333
2013-05-01,293337174
2013-06-01,239618662
2013-07-01,261216341
2013-08-01,274210078
2013-09-01,307858100
2013-10-01,370017147
2013-11-01,331991105
2013-12-01,316404843
2014-01-01,316765760
2014-02-01,262819484
2014-03-01,297478547
2014-04-01,243167317
2014-05-01,226350330
2014-06-01,286552712
2014-07-01,296873842
2014-08-01,362527866
2014-09-01,318876362
2014-10-01,269811650
2014-11-01,262971407
2014-12-01,311628688
2015-01-01,297472121
2015-02-01,168383169
2015-03-01,228802726
2015-04-01,300453018
2015-05-01,277844022
2015-06-01,259846427
2015-07-01,327454045
2015-08-01,305107178
2015-09-01,292494802
2015-10-01,328420903
2015-11-01,298177415
2015-12-01,286575187
2016-01-01,254076835
2016-02-01,261693444
2016-03-01,301271241
2016-04-01,230280703
2016-05-01,226030761
2016-06-01,245633447
2016-07-01,195871186
2016-08-01,178929719
2016-09-01,182323075
2016-10-01,211684371
2016-11-01,185662945
2016-12-01,214611222
2017-01-01,227885611
2017-02-01,250620495
2017-03-01,294977826
2017-04-01,285658336
2017-05-01,273861650
2017-06-01,269383744
2017-07-01,256173428
2017-08-01,269169439
2017-09-01,247670008
2017-10-01,261625212
2017-11-01,219621133
2017-12-01,265136514
2018-01-01,271804045
2018-02-01,272237967
2018-03-01,302743090
2018-04-01,316560606
2018-05-01,292942265
2018-06-01,270999353
2018-07-01,252889341
2018-08-01,263445540
2018-09-01,239222934
2018-10-01,237694116
2018-11-01,241756701
2018-12-01,204762220
2019-01-01,264496968
2019-02-01,217610903
2019-03-01,246850188
2019-04-01,260448569
2019-05-01,264146973
2019-06-01,253601420
2019-07-01,268776464
2019-08-01,295218618
2019-09-01,223401672
2019-10-01,258242000
2019-11-01,241837125
2019-12-01,262260515
2020-01-01,297086067
2020-02-01,281339648
2020-03-01,289810617
2020-04-01,262072435
2020-05-01,237635432
2020-06-01,203285009
2020-07-01,227667767
2020-08-01,211752821
2020-09-01,182525276
2020-10-01,198996713
2020-11-01,229912832
2020-12-01,233560988
2021-01-01,320435596
2021-02-01,184929754
2021-03-01,158420995
2021-04-01,257705216
2021-05-01,263979126
2021-06-01,232580207
2021-07-01,255239561
2021-08-01,222155034
2021-09-01,175983028
2021-10-01,169180618
2021-11-01,156079542
2021-12-01,180729601
2022-01-01,155713496
2022-02-01,140193549
2022-03-01,156228447
2022-04-01,147384216
2022-05-01,171799784
2022-06-01,173076238
2022-07-01,163120728
2022-08-01,171442643
2022-09-01,173642807
2022-10-01,169028889
2022-11-01,170568992
2022-12-01,183824880
2023-01-01,159236383
2023-02-01,129634265
2023-03-01,203225335
2023-04-01,146194690
2023-05-01,160864557
2023-06-01,166256050
2023-07-01,168349584
2023-08-01,210876074
2023-09-01,246406554
2023-10-01,211212891
2023-11-01,231268140
2023-12-01,170773907
2024-01-01,201234571
2024-02-01,204338175
2024-03-01,201468964
2024-04-01,204634839
2024-05-01,233080471
2024-06-01,217125065
2024-07-01,188509864
2024-08-01,188456476
2024-09-01,213879952
2024-10-01,237866742
2024-11-01,204714647
2024-12-01,212160094
