Date,PrimaryValue
2010-01-01,213153070
2010-02-01,191897141
2010-03-01,211436373
2010-04-01,251423133
2010-05-01,243478892
2010-06-01,219004860
2010-07-01,292412093
2010-08-01,244815717
2010-09-01,224609448
2010-10-01,242312697
2010-11-01,234473568
2010-12-01,237933459
2011-01-01,296277970
2011-02-01,328408993
2011-03-01,243018379
2011-04-01,205821364
2011-05-01,244414879
2011-06-01,253712548
2011-07-01,220613653
2011-08-01,203718180
2011-09-01,280467027
2011-10-01,240874387
2011-11-01,206706384
2011-12-01,298906372
2012-01-01,183702401
2012-02-01,158132698
2012-03-01,168284304
2012-04-01,203803243
2012-05-01,190590996
2012-06-01,254606420
2012-07-01,212767742
2012-08-01,227398574
2012-09-01,259149712
2012-10-01,347985886
2012-11-01,234937129
2012-12-01,288713522
2013-01-01,278589741
2013-02-01,254465869
2013-03-01,359622838
2013-04-01,306628628
2013-05-01,224405539
2013-06-01,253583263
2013-07-01,284094501
2013-08-01,226161179
2013-09-01,190593721
2013-10-01,239243857
2013-11-01,267460390
2013-12-01,132725703
2014-01-01,197181076
2014-02-01,165440164
2014-03-01,193518429
2014-04-01,180471144
2014-05-01,228502487
2014-06-01,165436449
2014-07-01,197419884
2014-08-01,263650165
2014-09-01,210411834
2014-10-01,259793690
2014-11-01,157984266
2014-12-01,173453194
2015-01-01,200242344
2015-02-01,170293071
2015-03-01,178420033
2015-04-01,166383519
2015-05-01,149578045
2015-06-01,195247184
2015-07-01,173404702
2015-08-01,147145752
2015-09-01,183055913
2015-10-01,141652795
2015-11-01,111053208
2015-12-01,129160788
2016-01-01,157136864
2016-02-01,147379129
2016-03-01,125210139
2016-04-01,122928993
2016-05-01,128258124
2016-06-01,169590500
2016-07-01,123669078
2016-08-01,178820815
2016-09-01,158581711
2016-10-01,183804276
2016-11-01,154922008
2016-12-01,163044556
2017-01-01,140007424
2017-02-01,122433054
2017-03-01,153289806
2017-04-01,152205409
2017-05-01,178226509
2017-06-01,164178255
2017-07-01,162497143
2017-08-01,178513100
2017-09-01,207356654
2017-10-01,160712247
2017-11-01,195492153
2017-12-01,213763298
2018-01-01,194272936
2018-02-01,181151148
2018-03-01,157937994
2018-04-01,178450585
2018-05-01,179824815
2018-06-01,136365973
2018-07-01,170500394
2018-08-01,139704467
2018-09-01,187592115
2018-10-01,180193294
2018-11-01,241689745
2018-12-01,221767313
2019-01-01,215886622
2019-02-01,174491221
2019-03-01,160762238
2019-04-01,150903040
2019-05-01,220120573
2019-06-01,181177950
2019-07-01,154205932
2019-08-01,220165130
2019-09-01,174198462
2019-10-01,179135776
2019-11-01,168004736
2019-12-01,157493662
2020-01-01,183686093
2020-02-01,121925732
2020-03-01,155710083
2020-04-01,117560658
2020-05-01,202074416
2020-06-01,203013106
2020-07-01,130226207
2020-08-01,205641807
2020-09-01,162518412
2020-10-01,177176037
2020-11-01,143475876
2020-12-01,166693789
2021-01-01,196997472
2021-02-01,137389810
2021-03-01,197346898
2021-04-01,150529957
2021-05-01,199789210
2021-06-01,178497705
2021-07-01,196135726
2021-08-01,249283271
2021-09-01,229019331
2021-10-01,211703230
2021-11-01,291456472
2021-12-01,288238255
2022-01-01,287401302
2022-02-01,206255199
2022-03-01,252991021
2022-04-01,271512766
2022-05-01,325250678
2022-06-01,275922943
2022-07-01,225266879
2022-08-01,258599077
2022-09-01,291250183
2022-10-01,274133857
2022-11-01,241735095
2022-12-01,196914428
2023-01-01,215356522
2023-02-01,209369908
2023-03-01,176724368
2023-04-01,182713783
2023-05-01,218184682
2023-06-01,206538749
2023-07-01,233836596
2023-08-01,217637622
2023-09-01,148166603
2023-10-01,224703766
2023-11-01,179703352
2023-12-01,187557209
2024-01-01,173955929
2024-02-01,156428543
2024-03-01,220874696
2024-04-01,257667180
2024-05-01,184991522
2024-06-01,186829555
2024-07-01,172865641
2024-08-01,161857016
2024-09-01,225118495
2024-10-01,184018249
2024-11-01,281510658
2024-12-01,216065356
