Date,PrimaryValue
2010-01-01,256208288
2010-02-01,243106397
2010-03-01,263045603
2010-04-01,235467826
2010-05-01,242490713
2010-06-01,244379625
2010-07-01,230620011
2010-08-01,262130626
2010-09-01,227871591
2010-10-01,232532046
2010-11-01,215059361
2010-12-01,219910171
2011-01-01,245866085
2011-02-01,222766481
2011-03-01,261999567
2011-04-01,225299435
2011-05-01,251962443
2011-06-01,284813579
2011-07-01,256284675
2011-08-01,280195507
2011-09-01,249619522
2011-10-01,262319225
2011-11-01,292197356
2011-12-01,287088823
2012-01-01,257073491
2012-02-01,230956621
2012-03-01,239426540
2012-04-01,211674808
2012-05-01,244452760
2012-06-01,211000726
2012-07-01,222028439
2012-08-01,236882239
2012-09-01,181735623
2012-10-01,199796496
2012-11-01,246836695
2012-12-01,160840494
2013-01-01,193654660
2013-02-01,171804721
2013-03-01,182357007
2013-04-01,204266649
2013-05-01,225132606
2013-06-01,188653866
2013-07-01,182585009
2013-08-01,188380754
2013-09-01,191809016
2013-10-01,206708672
2013-11-01,208061468
2013-12-01,172595333
2014-01-01,209216809
2014-02-01,207569821
2014-03-01,236185703
2014-04-01,212671763
2014-05-01,209015427
2014-06-01,200045450
2014-07-01,235107431
2014-08-01,240376365
2014-09-01,229845408
2014-10-01,245235734
2014-11-01,231882363
2014-12-01,222619796
2015-01-01,280374782
2015-02-01,223888269
2015-03-01,245165596
2015-04-01,226409172
2015-05-01,228211722
2015-06-01,313277343
2015-07-01,201140217
2015-08-01,198947005
2015-09-01,210338700
2015-10-01,209943651
2015-11-01,203227598
2015-12-01,247633564
2016-01-01,311669816
2016-02-01,269207969
2016-03-01,312452725
2016-04-01,311267338
2016-05-01,312400210
2016-06-01,328846396
2016-07-01,282678792
2016-08-01,255795432
2016-09-01,266284130
2016-10-01,235244242
2016-11-01,227205448
2016-12-01,248158454
2017-01-01,266070548
2017-02-01,228700589
2017-03-01,253889150
2017-04-01,225222962
2017-05-01,279135032
2017-06-01,264994145
2017-07-01,239570960
2017-08-01,290163959
2017-09-01,288724510
2017-10-01,264043679
2017-11-01,293712337
2017-12-01,247193343
2018-01-01,231811166
2018-02-01,184317610
2018-03-01,213943227
2018-04-01,205499532
2018-05-01,256944146
2018-06-01,267096513
2018-07-01,298091222
2018-08-01,307221998
2018-09-01,268825217
2018-10-01,290409674
2018-11-01,304690825
2018-12-01,279481618
2019-01-01,242427808
2019-02-01,180960938
2019-03-01,194692169
2019-04-01,187616083
2019-05-01,248001577
2019-06-01,261781747
2019-07-01,270225053
2019-08-01,285340362
2019-09-01,234551166
2019-10-01,274643568
2019-11-01,256421473
2019-12-01,251976860
2020-01-01,253006640
2020-02-01,248910224
2020-03-01,275547692
2020-04-01,288314619
2020-05-01,296549754
2020-06-01,312137506
2020-07-01,322357992
2020-08-01,302102707
2020-09-01,272906820
2020-10-01,257177900
2020-11-01,259821601
2020-12-01,303914299
2021-01-01,382990265
2021-02-01,254035876
2021-03-01,284819219
2021-04-01,291852986
2021-05-01,320922856
2021-06-01,352339383
2021-07-01,381192866
2021-08-01,466073916
2021-09-01,433195208
2021-10-01,528175488
2021-11-01,361713873
2021-12-01,443015253
2022-01-01,428194367
2022-02-01,435091742
2022-03-01,542696768
2022-04-01,441325013
2022-05-01,431624578
2022-06-01,413145146
2022-07-01,404199749
2022-08-01,441297294
2022-09-01,463967456
2022-10-01,471154517
2022-11-01,400659044
2022-12-01,529254516
2023-01-01,423320726
2023-02-01,426559796
2023-03-01,410156153
2023-04-01,396340918
2023-05-01,415319725
2023-06-01,418146449
2023-07-01,384160849
2023-08-01,411701333
2023-09-01,367163312
2023-10-01,407776038
2023-11-01,285553281
2023-12-01,411124896
2024-01-01,396253256
2024-02-01,321180703
2024-03-01,372006704
2024-04-01,339121522
2024-05-01,267540704
2024-06-01,315264186
2024-07-01,345174687
2024-08-01,437058555
2024-09-01,442868446
2024-10-01,567191744
2024-11-01,446901431
2024-12-01,365644352
