Date,PrimaryValue
2010-01-01,218125015
2010-02-01,192045867
2010-03-01,243619412
2010-04-01,289949937
2010-05-01,240553802
2010-06-01,251576441
2010-07-01,316178913
2010-08-01,313218026
2010-09-01,312316975
2010-10-01,272187559
2010-11-01,294276468
2010-12-01,283813280
2011-01-01,341461499
2011-02-01,238604635
2011-03-01,277530091
2011-04-01,271204607
2011-05-01,272521774
2011-06-01,281796804
2011-07-01,250933543
2011-08-01,274256390
2011-09-01,273340163
2011-10-01,261560857
2011-11-01,251606526
2011-12-01,281346732
2012-01-01,273066679
2012-02-01,260817654
2012-03-01,290346688
2012-04-01,269424036
2012-05-01,254648053
2012-06-01,282563978
2012-07-01,270456564
2012-08-01,268591575
2012-09-01,240829013
2012-10-01,275815943
2012-11-01,258752001
2012-12-01,224613845
2013-01-01,307949756
2013-02-01,250989032
2013-03-01,268152235
2013-04-01,293946155
2013-05-01,253066977
2013-06-01,267254100
2013-07-01,317027147
2013-08-01,306506831
2013-09-01,303434634
2013-10-01,350788331
2013-11-01,311971954
2013-12-01,295174046
2014-01-01,359755121
2014-02-01,248418054
2014-03-01,389455520
2014-04-01,353909789
2014-05-01,320889984
2014-06-01,319063863
2014-07-01,317580559
2014-08-01,316393758
2014-09-01,354143571
2014-10-01,381588003
2014-11-01,314706290
2014-12-01,350558169
2015-01-01,313060901
2015-02-01,282495186
2015-03-01,312731207
2015-04-01,369180568
2015-05-01,282286524
2015-06-01,335129487
2015-07-01,354545963
2015-08-01,299865214
2015-09-01,313344162
2015-10-01,324702819
2015-11-01,258923543
2015-12-01,262085265
2016-01-01,274953661
2016-02-01,247269124
2016-03-01,306157093
2016-04-01,271202790
2016-05-01,265561237
2016-06-01,289688413
2016-07-01,330149771
2016-08-01,306794849
2016-09-01,297072550
2016-10-01,319286533
2016-11-01,281122290
2016-12-01,293454386
2017-01-01,307358011
2017-02-01,247493558
2017-03-01,317336889
2017-04-01,370177258
2017-05-01,336677840
2017-06-01,314540832
2017-07-01,359576716
2017-08-01,330567808
2017-09-01,316689701
2017-10-01,369464089
2017-11-01,326513181
2017-12-01,310256962
2018-01-01,358790582
2018-02-01,277473280
2018-03-01,358162448
2018-04-01,362783559
2018-05-01,372255204
2018-06-01,346653362
2018-07-01,398869812
2018-08-01,305429356
2018-09-01,328106458
2018-10-01,414235093
2018-11-01,335525384
2018-12-01,343968885
2019-01-01,402126031
2019-02-01,306313544
2019-03-01,323776675
2019-04-01,298283020
2019-05-01,288446410
2019-06-01,269717184
2019-07-01,315968476
2019-08-01,320885885
2019-09-01,308548797
2019-10-01,307517183
2019-11-01,270344149
2019-12-01,289716795
2020-01-01,325808887
2020-02-01,270137615
2020-03-01,369507204
2020-04-01,262140219
2020-05-01,275709611
2020-06-01,278579348
2020-07-01,314585014
2020-08-01,290808247
2020-09-01,286299907
2020-10-01,381148785
2020-11-01,296460383
2020-12-01,338923698
2021-01-01,327626727
2021-02-01,270381599
2021-03-01,401366567
2021-04-01,380874798
2021-05-01,413007320
2021-06-01,450428386
2021-07-01,454447491
2021-08-01,507663846
2021-09-01,491998374
2021-10-01,497875792
2021-11-01,602788168
2021-12-01,589836965
2022-01-01,578131826
2022-02-01,634617665
2022-03-01,595382443
2022-04-01,662019659
2022-05-01,672700821
2022-06-01,692622019
2022-07-01,816978470
2022-08-01,654022122
2022-09-01,714749569
2022-10-01,683954107
2022-11-01,730033273
2022-12-01,656061452
2023-01-01,630972428
2023-02-01,666116578
2023-03-01,696394621
2023-04-01,621281632
2023-05-01,670816223
2023-06-01,563019441
2023-07-01,586045164
2023-08-01,532430215
2023-09-01,629254949
2023-10-01,654821646
2023-11-01,563144280
2023-12-01,514544300
2024-01-01,691481667
2024-02-01,634320879
2024-03-01,667103659
2024-04-01,772926060
2024-05-01,762260653
2024-06-01,830208831
2024-07-01,1084085842
2024-08-01,1207367142
2024-09-01,1236191637
2024-10-01,1313784889
2024-11-01,1003649238
2024-12-01,1151535965
