ds,y
2025-10-01,7.1269
2025-09-01,7.1196
2025-08-01,7.1308
2025-07-01,7.2005
2025-06-01,7.1639
2025-05-01,7.1998
2025-04-01,7.2714
2025-03-01,7.2572
2025-02-01,7.2838
2025-01-01,7.2514
2024-12-01,7.2993
2024-11-01,7.2423
2024-10-01,7.1178
2024-09-01,7.0176
2024-08-01,7.09
2024-07-01,7.2193
2024-06-01,7.2672
2024-05-01,7.2415
2024-04-01,7.2401
2024-03-01,7.2203
2024-02-01,7.1877
2024-01-01,7.1673
2023-12-01,7.0978
2023-11-01,7.136
2023-10-01,7.3158
2023-09-01,7.301
2023-08-01,7.2582
2023-07-01,7.1426
2023-06-01,7.2513
2023-05-01,7.1109
2023-04-01,6.911
2023-03-01,6.8676
2023-02-01,6.9325
2023-01-01,6.754
2022-12-01,6.8972
2022-11-01,7.0879
2022-10-01,7.3015
2022-09-01,7.1135
2022-08-01,6.889
2022-07-01,6.7433
2022-06-01,6.6981
2022-05-01,6.6715
2022-04-01,6.608
2022-03-01,6.3393
2022-02-01,6.3084
2022-01-01,6.3605
2021-12-01,6.3521
2021-11-01,6.364
2021-10-01,6.405
2021-09-01,6.4452
2021-08-01,6.4604
2021-07-01,6.4609
2021-06-01,6.4566
2021-05-01,6.3688
2021-04-01,6.473
2021-03-01,6.5518
2021-02-01,6.473
2021-01-01,6.425
2020-12-01,6.525
2020-11-01,6.576
2020-10-01,6.6919
2020-09-01,6.7896
2020-08-01,6.8474
2020-07-01,6.9744
2020-06-01,7.0651
2020-05-01,7.1348
2020-04-01,7.06
2020-03-01,7.0808
2020-02-01,6.9906
2020-01-01,6.9364
2019-12-01,6.9618
2019-11-01,7.0308
2019-10-01,7.0379
2019-09-01,7.1477
2019-08-01,7.1543
2019-07-01,6.8833
2019-06-01,6.865
2019-05-01,6.9027
2019-04-01,6.7347
2019-03-01,6.7112
2019-02-01,6.6912
2019-01-01,6.6958
2018-12-01,6.8755
2018-11-01,6.9558
2018-10-01,6.9737
2018-09-01,6.868
2018-08-01,6.83
2018-07-01,6.8038
2018-06-01,6.6171
2018-05-01,6.4096
2018-04-01,6.3325
2018-03-01,6.2726
2018-02-01,6.328
2018-01-01,6.2841
2017-12-01,6.5063
2017-11-01,6.609
2017-10-01,6.6328
2017-09-01,6.6533
2017-08-01,6.5888
2017-07-01,6.724
2017-06-01,6.7793
2017-05-01,6.8098
2017-04-01,6.89
2017-03-01,6.8832
2017-02-01,6.8665
2017-01-01,6.8768
2016-12-01,6.943
2016-11-01,6.8837
2016-10-01,6.7735
2016-09-01,6.6685
2016-08-01,6.6776
2016-07-01,6.6371
2016-06-01,6.6459
2016-05-01,6.5798
2016-04-01,6.4738
2016-03-01,6.448
2016-02-01,6.5525
2016-01-01,6.5752
2015-12-01,6.4921
2015-11-01,6.3981
2015-10-01,6.318
2015-09-01,6.3556
2015-08-01,6.376
2015-07-01,6.2097
2015-06-01,6.2
2015-05-01,6.198
2015-04-01,6.2018
2015-03-01,6.199
2015-02-01,6.2695
2015-01-01,6.2495
2014-12-01,6.2046
2014-11-01,6.1429
2014-10-01,6.1124
2014-09-01,6.138
2014-08-01,6.143
2014-07-01,6.1737
2014-06-01,6.2036
2014-05-01,6.2471
2014-04-01,6.2591
2014-03-01,6.2164
2014-02-01,6.1448
2014-01-01,6.06
2013-12-01,6.0537
2013-11-01,6.0922
2013-10-01,6.0943
2013-09-01,6.12
2013-08-01,6.1193
2013-07-01,6.1284
2013-06-01,6.1374
2013-05-01,6.1345
2013-04-01,6.1647
2013-03-01,6.2106
2013-02-01,6.2213
2013-01-01,6.2188
2012-12-01,6.2303
2012-11-01,6.2267
2012-10-01,6.2372
2012-09-01,6.2845
2012-08-01,6.3485
2012-07-01,6.362
2012-06-01,6.3537
2012-05-01,6.3688
2012-04-01,6.3099
2012-03-01,6.298
2012-02-01,6.2938
2012-01-01,6.309
2011-12-01,6.2939
2011-11-01,6.3788
2011-10-01,6.3552
2011-09-01,6.3822
2011-08-01,6.379
2011-07-01,6.437
2011-06-01,6.4642
2011-05-01,6.4795
2011-04-01,6.491
2011-03-01,6.5486
2011-02-01,6.5716
2011-01-01,6.605
2010-12-01,6.5906
2010-11-01,6.667
2010-10-01,6.6707
2010-09-01,6.6917
2010-08-01,6.8075
2010-07-01,6.774
2010-06-01,6.7817
2010-05-01,6.8278
2010-04-01,6.8252
2010-03-01,6.8259
2010-02-01,6.8261
2010-01-01,6.8269
