ds,y
2025-10-01,30.555
2025-09-01,30.463
2025-08-01,30.575
2025-07-01,29.92
2025-06-01,29.196
2025-05-01,29.917
2025-04-01,32.048
2025-03-01,33.267
2025-02-01,32.92
2025-01-01,32.98
2024-12-01,32.785
2024-11-01,32.441
2024-10-01,31.913
2024-09-01,31.749
2024-08-01,31.996
2024-07-01,32.665
2024-06-01,32.504
2024-05-01,32.465
2024-04-01,32.602
2024-03-01,31.942
2024-02-01,31.629
2024-01-01,31.22
2023-12-01,30.682
2023-11-01,31.361
2023-10-01,32.468
2023-09-01,32.23
2023-08-01,31.844
2023-07-01,31.433
2023-06-01,31.129
2023-05-01,30.693
2023-04-01,30.738
2023-03-01,30.535
2023-02-01,30.715
2023-01-01,29.994
2022-12-01,30.577
2022-11-01,30.804
2022-10-01,32.24
2022-09-01,31.803
2022-08-01,30.389
2022-07-01,29.998
2022-06-01,29.712
2022-05-01,29.026
2022-04-01,29.438
2022-03-01,28.629
2022-02-01,27.996
2022-01-01,27.769
2021-12-01,27.712
2021-11-01,27.628
2021-10-01,27.822
2021-09-01,27.81
2021-08-01,27.651
2021-07-01,27.93
2021-06-01,27.913
2021-05-01,27.524
2021-04-01,27.846
2021-03-01,28.444
2021-02-01,27.865
2021-01-01,28.001
2020-12-01,28.075
2020-11-01,28.576
2020-10-01,28.584
2020-09-01,28.923
2020-08-01,29.365
2020-07-01,29.337
2020-06-01,29.412
2020-05-01,29.944
2020-04-01,29.776
2020-03-01,30.268
2020-02-01,30.122
2020-01-01,30.346
2019-12-01,29.909
2019-11-01,30.514
2019-10-01,30.478
2019-09-01,31.039
2019-08-01,31.318
2019-07-01,31.154
2019-06-01,30.958
2019-05-01,31.524
2019-04-01,30.893
2019-03-01,30.838
2019-02-01,30.816
2019-01-01,30.688
2018-12-01,30.563
2018-11-01,30.846
2018-10-01,30.932
2018-09-01,30.446
2018-08-01,30.673
2018-07-01,30.568
2018-06-01,30.464
2018-05-01,29.973
2018-04-01,29.623
2018-03-01,29.075
2018-02-01,29.33
2018-01-01,29.161
2017-12-01,29.662
2017-11-01,29.984
2017-10-01,30.153
2017-09-01,30.313
2017-08-01,30.179
2017-07-01,30.199
2017-06-01,30.417
2017-05-01,30.081
2017-04-01,30.157
2017-03-01,30.315
2017-02-01,30.641
2017-01-01,31.162
2016-12-01,32.439
2016-11-01,31.883
2016-10-01,31.517
2016-09-01,31.305
2016-08-01,31.732
2016-07-01,31.818
2016-06-01,32.212
2016-05-01,32.584
2016-04-01,32.286
2016-03-01,32.202
2016-02-01,33.24
2016-01-01,33.483
2015-12-01,32.815
2015-11-01,32.69
2015-10-01,32.437
2015-09-01,32.988
2015-08-01,32.496
2015-07-01,31.642
2015-06-01,30.866
2015-05-01,30.818
2015-04-01,30.61
2015-03-01,31.243
2015-02-01,31.422
2015-01-01,31.73
2014-12-01,31.62
2014-11-01,30.986
2014-10-01,30.43
2014-09-01,30.426
2014-08-01,29.865
2014-07-01,30.059
2014-06-01,29.865
2014-05-01,29.99
2014-04-01,30.15
2014-03-01,30.445
2014-02-01,30.304
2014-01-01,30.32
2013-12-01,29.815
2013-11-01,29.593
2013-10-01,29.42
2013-09-01,29.558
2013-08-01,29.9
2013-07-01,29.985
2013-06-01,29.937
2013-05-01,29.935
2013-04-01,29.474
2013-03-01,29.806
2013-02-01,29.648
2013-01-01,29.53
2012-12-01,29.045
2012-11-01,29.05
2012-10-01,29.2
2012-09-01,29.293
2012-08-01,29.872
2012-07-01,29.939
2012-06-01,29.779
2012-05-01,29.846
2012-04-01,29.13
2012-03-01,29.51
2012-02-01,29.378
2012-01-01,29.615
2011-12-01,30.27
2011-11-01,30.31
2011-10-01,29.93
2011-09-01,30.45
2011-08-01,28.98
2011-07-01,28.87
2011-06-01,28.725
2011-05-01,28.64
2011-04-01,28.67
2011-03-01,29.4
2011-02-01,29.745
2011-01-01,29.03
2010-12-01,29.165
2010-11-01,30.47
2010-10-01,30.6
2010-09-01,31.19
2010-08-01,32.015
2010-07-01,31.95
2010-06-01,32.275
2010-05-01,31.99
2010-04-01,31.325
2010-03-01,31.79
2010-02-01,32.13
2010-01-01,31.965
