Date,PrimaryValue
2010-01-01,2905626767
2010-02-01,2671995831
2010-03-01,3234486746
2010-04-01,3142061593
2010-05-01,3211799048
2010-06-01,3305201972
2010-07-01,3222579362
2010-08-01,3349417531
2010-09-01,3290702430
2010-10-01,3151267732
2010-11-01,3049066149
2010-12-01,3034885051
2011-01-01,3021744193
2011-02-01,2674840858
2011-03-01,3066429228
2011-04-01,2713849447
2011-05-01,2877696667
2011-06-01,3060315868
2011-07-01,3055043392
2011-08-01,3125873400
2011-09-01,3141567546
2011-10-01,3069118578
2011-11-01,3086023370
2011-12-01,2812036875
2012-01-01,2818445346
2012-02-01,2682860703
2012-03-01,2995051612
2012-04-01,2727884918
2012-05-01,3029625318
2012-06-01,2933586050
2012-07-01,2904041916
2012-08-01,3056652618
2012-09-01,2862300178
2012-10-01,3052629241
2012-11-01,2789386712
2012-12-01,2555158236
2013-01-01,2739692363
2013-02-01,2415241452
2013-03-01,2868702953
2013-04-01,2762901654
2013-05-01,2938360526
2013-06-01,2945289785
2013-07-01,3055287488
2013-08-01,3002819612
2013-09-01,2986427044
2013-10-01,3215156812
2013-11-01,2837539532
2013-12-01,2764170008
2014-01-01,2873728457
2014-02-01,2583273413
2014-03-01,2938497978
2014-04-01,2751162312
2014-05-01,2822579048
2014-06-01,2873608126
2014-07-01,2931490261
2014-08-01,3030893540
2014-09-01,2999475249
2014-10-01,2989365352
2014-11-01,2742982169
2014-12-01,2934495872
2015-01-01,2961834879
2015-02-01,2381125961
2015-03-01,2854734992
2015-04-01,2774397405
2015-05-01,2637729124
2015-06-01,2972054571
2015-07-01,3031791319
2015-08-01,2788853069
2015-09-01,2789965190
2015-10-01,2841220492
2015-11-01,2621054392
2015-12-01,2817764582
2016-01-01,2658440141
2016-02-01,2584151991
2016-03-01,3276981849
2016-04-01,2811457887
2016-05-01,2939422038
2016-06-01,3085760469
2016-07-01,2982105651
2016-08-01,2936536358
2016-09-01,2889553006
2016-10-01,2886124229
2016-11-01,2740102584
2016-12-01,2981502819
2017-01-01,2979585446
2017-02-01,2889220048
2017-03-01,3216511292
2017-04-01,3054726548
2017-05-01,3097456009
2017-06-01,3215091435
2017-07-01,3007185867
2017-08-01,3417155058
2017-09-01,3289630522
2017-10-01,3420627460
2017-11-01,3354924729
2017-12-01,3185440940
2018-01-01,3280214507
2018-02-01,2786286148
2018-03-01,3271814793
2018-04-01,3067960167
2018-05-01,3190116092
2018-06-01,3196683715
2018-07-01,3008937631
2018-08-01,3260158518
2018-09-01,3099798575
2018-10-01,3275413690
2018-11-01,3176299356
2018-12-01,3077940893
2019-01-01,3091386939
2019-02-01,3190853998
2019-03-01,3222236593
2019-04-01,2934251452
2019-05-01,3180986959
2019-06-01,3366155164
2019-07-01,3326489418
2019-08-01,3594006544
2019-09-01,3429425324
2019-10-01,3669691061
2019-11-01,3449403948
2019-12-01,3644619789
2020-01-01,3738985567
2020-02-01,3463182872
2020-03-01,3754820568
2020-04-01,3745318681
2020-05-01,3316359977
2020-06-01,3693201761
2020-07-01,4302261246
2020-08-01,3258293561
2020-09-01,3428800019
2020-10-01,3812600765
2020-11-01,3658448068
2020-12-01,4040391216
2021-01-01,4075258806
2021-02-01,3464751236
2021-03-01,4363487752
2021-04-01,4351354626
2021-05-01,4641880861
2021-06-01,4889923862
2021-07-01,4740048302
2021-08-01,4545042530
2021-09-01,4353030554
2021-10-01,4487507377
2021-11-01,4314667344
2021-12-01,4589920835
2022-01-01,4364872028
2022-02-01,3939693362
2022-03-01,4663488375
2022-04-01,4161033067
2022-05-01,4230637389
2022-06-01,4540061755
2022-07-01,4243219541
2022-08-01,4247038503
2022-09-01,4430608076
2022-10-01,4418291386
2022-11-01,4304419915
2022-12-01,4079678294
2023-01-01,3860185438
2023-02-01,3275983059
2023-03-01,3922064998
2023-04-01,3235448272
2023-05-01,3487793252
2023-06-01,3718087499
2023-07-01,3383508088
2023-08-01,3773119883
2023-09-01,3968031150
2023-10-01,3882991605
2023-11-01,3496189439
2023-12-01,3553572694
2024-01-01,3719547573
2024-02-01,3225285798
2024-03-01,3480702761
2024-04-01,3520715621
2024-05-01,3917827703
2024-06-01,4153986684
2024-07-01,5611337123
2024-08-01,5057170007
2024-09-01,4377856030
2024-10-01,4985660334
2024-11-01,4337641137
2024-12-01,4246790915
