Date,PrimaryValue
2010-01-01,1305216255
2010-02-01,1265600276
2010-03-01,1549449957
2010-04-01,1607505069
2010-05-01,1479201830
2010-06-01,1599701203
2010-07-01,1695688622
2010-08-01,2287245127
2010-09-01,2338333702
2010-10-01,2282071349
2010-11-01,2295085682
2010-12-01,2210040655
2011-01-01,2309891344
2011-02-01,2116141783
2011-03-01,2364306665
2011-04-01,2298639248
2011-05-01,2248280769
2011-06-01,2385041100
2011-07-01,2253270383
2011-08-01,2319354445
2011-09-01,2453291554
2011-10-01,2308943350
2011-11-01,2207897605
2011-12-01,2303312425
2012-01-01,2097769715
2012-02-01,2155977469
2012-03-01,2505700073
2012-04-01,2185690851
2012-05-01,2367571667
2012-06-01,2376769740
2012-07-01,2304976412
2012-08-01,2336404544
2012-09-01,2275103466
2012-10-01,2424150973
2012-11-01,2273345888
2012-12-01,2237983856
2013-01-01,2317293403
2013-02-01,2165366434
2013-03-01,2418220395
2013-04-01,2392563456
2013-05-01,2568326625
2013-06-01,2474378910
2013-07-01,2583726996
2013-08-01,2517249435
2013-09-01,2643221096
2013-10-01,2651785104
2013-11-01,2397776788
2013-12-01,2321426594
2014-01-01,2120293179
2014-02-01,2104562116
2014-03-01,2521330345
2014-04-01,2566673587
2014-05-01,2506593312
2014-06-01,2462094020
2014-07-01,2465018728
2014-08-01,2674540447
2014-09-01,2684962194
2014-10-01,2841149882
2014-11-01,2362165791
2014-12-01,2550838017
2015-01-01,2366976736
2015-02-01,2161814004
2015-03-01,2437091376
2015-04-01,2464967537
2015-05-01,2427646330
2015-06-01,2457146858
2015-07-01,2580840430
2015-08-01,2370241886
2015-09-01,2506145496
2015-10-01,2451961189
2015-11-01,2154593927
2015-12-01,2430907609
2016-01-01,2231115889
2016-02-01,2145647024
2016-03-01,2828605574
2016-04-01,2508870646
2016-05-01,2549651297
2016-06-01,2665239479
2016-07-01,2600157139
2016-08-01,2701479119
2016-09-01,2570404370
2016-10-01,2730954136
2016-11-01,2539650016
2016-12-01,2671739926
2017-01-01,2808368050
2017-02-01,2562190005
2017-03-01,2908208548
2017-04-01,2522921858
2017-05-01,2830625504
2017-06-01,2837796146
2017-07-01,2552185554
2017-08-01,2834003315
2017-09-01,2869549797
2017-10-01,2749445380
2017-11-01,3104468396
2017-12-01,2872229542
2018-01-01,2753503303
2018-02-01,2783169003
2018-03-01,2855581129
2018-04-01,2926031575
2018-05-01,3243332892
2018-06-01,2917250565
2018-07-01,3032361504
2018-08-01,3082745501
2018-09-01,2783628643
2018-10-01,2605997797
2018-11-01,2763930577
2018-12-01,3048627194
2019-01-01,2526551602
2019-02-01,2461899059
2019-03-01,3061905884
2019-04-01,2229810926
2019-05-01,2700595048
2019-06-01,2637034495
2019-07-01,2582030575
2019-08-01,3218961366
2019-09-01,2638629954
2019-10-01,3272326643
2019-11-01,2611914697
2019-12-01,3143385738
2020-01-01,2682394815
2020-02-01,2336302509
2020-03-01,3499396916
2020-04-01,2045277586
2020-05-01,2255368644
2020-06-01,2682491956
2020-07-01,2177879097
2020-08-01,2658940869
2020-09-01,2857712412
2020-10-01,2945741016
2020-11-01,2749317473
2020-12-01,3019213750
2021-01-01,2588558767
2021-02-01,2454901167
2021-03-01,4070447495
2021-04-01,3085239951
2021-05-01,3655019230
2021-06-01,3834716695
2021-07-01,3314864762
2021-08-01,3956352079
2021-09-01,3671318627
2021-10-01,3092199377
2021-11-01,3475041728
2021-12-01,4052593125
2022-01-01,3002045134
2022-02-01,3158678524
2022-03-01,4272018999
2022-04-01,3444536959
2022-05-01,3988219064
2022-06-01,4475854166
2022-07-01,3265389475
2022-08-01,3434475877
2022-09-01,4097819703
2022-10-01,3867916816
2022-11-01,3406741032
2022-12-01,3271253398
2023-01-01,2799575181
2023-02-01,2944145048
2023-03-01,3379107698
2023-04-01,2689984431
2023-05-01,3162642177
2023-06-01,3156758175
2023-07-01,3124596099
2023-08-01,2928869980
2023-09-01,3089289845
2023-10-01,2930941997
2023-11-01,2843597323
2023-12-01,3013313347
2024-01-01,2809141496
2024-02-01,2381713667
2024-03-01,3280964943
2024-04-01,2866042872
2024-05-01,3171305458
2024-06-01,3714879517
2024-07-01,3475251694
2024-08-01,3348665576
2024-09-01,4314638299
2024-10-01,3551796876
2024-11-01,3417361071
2024-12-01,4054690213
