ds,y
2025-10-01,5.0073
2025-09-01,4.8565
2025-08-01,4.567
2025-07-01,4.3765
2025-06-01,5.0825
2025-05-01,4.7295
2025-04-01,4.609
2025-03-01,5.02
2025-02-01,4.5275
2025-01-01,4.321
2024-12-01,4.007
2024-11-01,4.14
2024-10-01,4.34
2024-09-01,4.553
2024-08-01,4.167
2024-07-01,4.1765
2024-06-01,4.385
2024-05-01,4.602
2024-04-01,4.563
2024-03-01,4.025
2024-02-01,3.847
2024-01-01,3.917
2023-12-01,3.8905
2023-11-01,3.8505
2023-10-01,3.649
2023-09-01,3.7375
2023-08-01,3.822
2023-07-01,4.008
2023-06-01,3.7595
2023-05-01,3.637
2023-04-01,3.8812
2023-03-01,4.0945
2023-02-01,4.074
2023-01-01,4.226
2022-12-01,3.8105
2022-11-01,3.738
2022-10-01,3.375
2022-09-01,3.4125
2022-08-01,3.519
2022-07-01,3.575
2022-06-01,3.71
2022-05-01,4.299
2022-04-01,4.4085
2022-03-01,4.752
2022-02-01,4.4545
2022-01-01,4.3265
2021-12-01,4.4635
2021-11-01,4.2805
2021-10-01,4.359
2021-09-01,4.089
2021-08-01,4.37
2021-07-01,4.4655
2021-06-01,4.289
2021-05-01,4.681
2021-04-01,4.468
2021-03-01,4
2021-02-01,4.0925
2021-01-01,3.558
2020-12-01,3.519
2020-11-01,3.4335
2020-10-01,3.0515
2020-09-01,3.0325
2020-08-01,3.0555
2020-07-01,2.877
2020-06-01,2.7285
2020-05-01,2.4345
2020-04-01,2.344
2020-03-01,2.232
2020-02-01,2.54
2020-01-01,2.52
2019-12-01,2.797
2019-11-01,2.656
2019-10-01,2.6425
2019-09-01,2.5785
2019-08-01,2.547
2019-07-01,2.6715
2019-06-01,2.7135
2019-05-01,2.6405
2019-04-01,2.904
2019-03-01,2.9395
2019-02-01,2.948
2019-01-01,2.789
2018-12-01,2.631
2018-11-01,2.7865
2018-10-01,2.667
2018-09-01,2.805
2018-08-01,2.6645
2018-07-01,2.8405
2018-06-01,2.966
2018-05-01,3.075
2018-04-01,3.074
2018-03-01,3.037
2018-02-01,3.1325
2018-01-01,3.2065
2017-12-01,3.3005
2017-11-01,3.0555
2017-10-01,3.108
2017-09-01,2.955
2017-08-01,3.094
2017-07-01,2.9
2017-06-01,2.711
2017-05-01,2.5865
2017-04-01,2.6075
2017-03-01,2.66
2017-02-01,2.714
2017-01-01,2.7335
2016-12-01,2.5055
2016-11-01,2.6295
2016-10-01,2.208
2016-09-01,2.2105
2016-08-01,2.075
2016-07-01,2.225
2016-06-01,2.1955
2016-05-01,2.1
2016-04-01,2.2835
2016-03-01,2.188
2016-02-01,2.1325
2016-01-01,2.0705
2015-12-01,2.135
2015-11-01,2.046
2015-10-01,2.3235
2015-09-01,2.341
2015-08-01,2.3385
2015-07-01,2.369
2015-06-01,2.615
2015-05-01,2.733
2015-04-01,2.8865
2015-03-01,2.741
2015-02-01,2.6915
2015-01-01,2.4955
2014-12-01,2.8255
2014-11-01,2.856
2014-10-01,3.047
2014-09-01,3.0075
2014-08-01,3.153
2014-07-01,3.236
2014-06-01,3.2035
2014-05-01,3.1205
2014-04-01,3.0275
2014-03-01,3.0245
2014-02-01,3.1875
2014-01-01,3.2
2013-12-01,3.3965
2013-11-01,3.2155
2013-10-01,3.3045
2013-09-01,3.323
2013-08-01,3.2305
2013-07-01,3.125
2013-06-01,3.0575
2013-05-01,3.3
2013-04-01,3.1875
2013-03-01,3.4125
2013-02-01,3.5475
2013-01-01,3.7395
2012-12-01,3.6525
2012-11-01,3.645
2012-10-01,3.523
2012-09-01,3.758
2012-08-01,3.4575
2012-07-01,3.4235
2012-06-01,3.4965
2012-05-01,3.3705
2012-04-01,3.8295
2012-03-01,3.8295
2012-02-01,3.8795
2012-01-01,3.797
2011-12-01,3.436
2011-11-01,3.5735
2011-10-01,3.642
2011-09-01,3.152
2011-08-01,4.1995
2011-07-01,4.4895
2011-06-01,4.2825
2011-05-01,4.1875
2011-04-01,4.179
2011-03-01,4.317
2011-02-01,4.4965
2011-01-01,4.4635
2010-12-01,4.447
2010-11-01,3.8255
2010-10-01,3.739
2010-09-01,3.6515
2010-08-01,3.3685
2010-07-01,3.32
2010-06-01,2.9505
2010-05-01,3.115
2010-04-01,3.3535
2010-03-01,3.563
2010-02-01,3.284
2010-01-01,3.0595
